year,state,gdp
2016,Nebraska,116283.1
2017,Nebraska,119587.5
1963,Nevada,1819.1
1964,Nevada,1932.8
1965,Nevada,2031.7
1966,Nevada,2130.9
1967,Nevada,2247.8
1968,Nevada,2549.4
1969,Nevada,2947.2
1970,Nevada,3262.1
1971,Nevada,3611.1
1972,Nevada,3990.1
1973,Nevada,4530.2
1974,Nevada,4965.6
1975,Nevada,5529.4
1976,Nevada,6262.6
1977,Nevada,7415.8
1978,Nevada,8931.7
1979,Nevada,10294.9
1980,Nevada,11633.4
1981,Nevada,13202.5
1982,Nevada,13884.6
1983,Nevada,15059.8
1984,Nevada,16514
1985,Nevada,17944.9
1986,Nevada,19731.1
1987,Nevada,21950.7
1988,Nevada,24987
1989,Nevada,27846.7
1990,Nevada,30980
1991,Nevada,32785.6
1992,Nevada,36051.6
1993,Nevada,40039.1
1994,Nevada,45172.8
1995,Nevada,49249.3
1996,Nevada,54418.6
1997,Nevada,59467.2
1998,Nevada,65315
1999,Nevada,71534.9
2000,Nevada,76627.1
2001,Nevada,80426.6
2002,Nevada,84733.5
2003,Nevada,90778.8
2004,Nevada,104420.6
2005,Nevada,117856.1
2006,Nevada,127575.7
2007,Nevada,131599.8
2008,Nevada,129372.4
2009,Nevada,121109.5
2010,Nevada,123598.1
2011,Nevada,126657.1
2012,Nevada,128043
2013,Nevada,130621.4
2014,Nevada,135026.5
2015,Nevada,144378.9
2016,Nevada,149739.6
2017,Nevada,158302.1
1963,New Hampshire,1650.9
1964,New Hampshire,1812.3
1965,New Hampshire,1961
1966,New Hampshire,2168.8
1967,New Hampshire,2370.4
1968,New Hampshire,2595.6
1969,New Hampshire,2816.5
1970,New Hampshire,3050.4
1971,New Hampshire,3332.2
1972,New Hampshire,3625.9
1973,New Hampshire,4172.8
1974,New Hampshire,4469.6
1975,New Hampshire,4841.7
1976,New Hampshire,5510.9
1977,New Hampshire,6298.1
1978,New Hampshire,7389.2
1979,New Hampshire,8351.2
1980,New Hampshire,9262.5
1981,New Hampshire,10480.2
1982,New Hampshire,11407.4
1983,New Hampshire,12629.2
1984,New Hampshire,14766.9
1985,New Hampshire,16577.5
1986,New Hampshire,18369.2
1987,New Hampshire,20994
1988,New Hampshire,22937.3
1989,New Hampshire,23777.2
1990,New Hampshire,23767.8
1991,New Hampshire,24762.6
1992,New Hampshire,26331.8
1993,New Hampshire,27362.1
1994,New Hampshire,29190.1
1995,New Hampshire,31875.5
1996,New Hampshire,34560.6
1997,New Hampshire,36935
1998,New Hampshire,40557.8
1999,New Hampshire,41880
2000,New Hampshire,45225.5
2001,New Hampshire,46629.7
2002,New Hampshire,48678.5
2003,New Hampshire,51378.4
2004,New Hampshire,54126.7
2005,New Hampshire,56352.1
2006,New Hampshire,59411.6
2007,New Hampshire,60732.7
2008,New Hampshire,60918.7
2009,New Hampshire,61937.4
2010,New Hampshire,64151.6
2011,New Hampshire,65430.5
2012,New Hampshire,67689.2
2013,New Hampshire,70181.9
2014,New Hampshire,72368.7
2015,New Hampshire,75892.9
2016,New Hampshire,78418.2
2017,New Hampshire,81649.7
1963,New Jersey,23388.4
1964,New Jersey,24774.2
1965,New Jersey,26654.7
1966,New Jersey,29026.9
1967,New Jersey,30975.6
1968,New Jersey,33656.8
1969,New Jersey,35852.4
1970,New Jersey,38491.7
1971,New Jersey,41306.6
1972,New Jersey,45388.3
1973,New Jersey,49301.3
1974,New Jersey,52986.6
1975,New Jersey,56051.8
1976,New Jersey,60496
1977,New Jersey,65839
1978,New Jersey,72918.4
1979,New Jersey,81050.6
1980,New Jersey,88333.5
1981,New Jersey,98755
1982,New Jersey,105759
1983,New Jersey,117962
1984,New Jersey,133571.7
1985,New Jersey,145928.9
1986,New Jersey,158836.4
1987,New Jersey,174628.9
1988,New Jersey,194708.6
1989,New Jersey,205075.4
1990,New Jersey,214357
1991,New Jersey,221915
1992,New Jersey,230774.5
1993,New Jersey,240389.4
1994,New Jersey,251572.6
1995,New Jersey,263468
1996,New Jersey,278191.1
1997,New Jersey,292671
1998,New Jersey,319946.2
1999,New Jersey,336649.9
2000,New Jersey,362006.9
2001,New Jersey,373755.6
2002,New Jersey,388337.7
2003,New Jersey,405198.5
2004,New Jersey,422889.1
2005,New Jersey,440773.8
2006,New Jersey,464458.9
2007,New Jersey,480539
2008,New Jersey,495121.8
2009,New Jersey,486512.8
2010,New Jersey,495149
2011,New Jersey,499114.9
2012,New Jersey,519745.8
2013,New Jersey,533686.7
2014,New Jersey,546831.5
2015,New Jersey,569391.3
2016,New Jersey,582070.9
2017,New Jersey,602069
1963,New Mexico,3029.5
1964,New Mexico,3156.3
1965,New Mexico,3310.7
1966,New Mexico,3452.3
1967,New Mexico,3514
1968,New Mexico,3806.1
1969,New Mexico,4090.8
1970,New Mexico,4431.4
1971,New Mexico,4821.5
1972,New Mexico,5406.1
1973,New Mexico,6189
1974,New Mexico,7115.8
1975,New Mexico,8098.3
1976,New Mexico,9254
1977,New Mexico,10102.1
1978,New Mexico,11535.8
1979,New Mexico,13140.5
1980,New Mexico,15731
1981,New Mexico,18511.3
1982,New Mexico,19242
1983,New Mexico,19882.2
1984,New Mexico,21396.6
1985,New Mexico,22534.5
1986,New Mexico,21807.2
1987,New Mexico,22429.4
1988,New Mexico,23457.2
1989,New Mexico,24927.4
1990,New Mexico,26600.3
1991,New Mexico,30295.3
1992,New Mexico,32638.4
1993,New Mexico,36876.1
1994,New Mexico,41684.5
1995,New Mexico,42145.9
1996,New Mexico,44532.1
1997,New Mexico,48682.7
1998,New Mexico,50682.3
1999,New Mexico,53092.8
2000,New Mexico,55232.9
2001,New Mexico,55986.2
2002,New Mexico,58055.5
2003,New Mexico,62895.9
2004,New Mexico,69740.7
2005,New Mexico,73684.2
2006,New Mexico,77426.1
2007,New Mexico,80572.8
2008,New Mexico,83724.2
2009,New Mexico,82017.4
2010,New Mexico,83989.2
2011,New Mexico,86625
2012,New Mexico,87601.6
2013,New Mexico,88411.2
2014,New Mexico,92495.9
2015,New Mexico,90849.4
2016,New Mexico,90880
2017,New Mexico,94210.7
1963,New York,70640
1964,New York,75542.3
1965,New York,80346.7
1966,New York,86558.7
1967,New York,92077.9
1968,New York,99816.9
1969,New York,107031
1970,New York,112349.2
1971,New York,119145
1972,New York,127221.4
1973,New York,136395.9
1974,New York,145418.9
1975,New York,155255.6
1976,New York,163284.3
1977,New York,179890.3
1978,New York,200062.9
1979,New York,217724.6
1980,New York,235746.1
1981,New York,261839.6
1982,New York,282226.5
1983,New York,305287.9
1984,New York,339427.1
1985,New York,364281.1
1986,New York,390103.7
1987,New York,418305.6
1988,New York,456556.7
1989,New York,473252.3
1990,New York,493191.9
1991,New York,497336
1992,New York,519703.9
1993,New York,537504.2
1994,New York,555321.8
1995,New York,582656.3
1996,New York,620153.4
1997,New York,664679
1998,New York,745223.7
1999,New York,793721.1
2000,New York,838660.3
2001,New York,877149.3
2002,New York,886792.7
2003,New York,905280.6
2004,New York,955192
2005,New York,1015046.3
2006,New York,1071393.1
2007,New York,1108896
2008,New York,1099234.4
2009,New York,1152812.1
2010,New York,1213946.9
2011,New York,1236061.4
2012,New York,1322447.9
2013,New York,1355581.4
2014,New York,1427812.7
2015,New York,1488200.7
2016,New York,1540969.7
2017,New York,1606601.3
1963,North Carolina,12638.9
1964,North Carolina,13481.5
1965,North Carolina,14543.9
1966,North Carolina,15966.3
1967,North Carolina,17154.7
1968,North Carolina,18962.3
1969,North Carolina,20881.7
1970,North Carolina,22840.2
1971,North Carolina,25035.5
1972,North Carolina,28004.7
1973,North Carolina,31754.6
1974,North Carolina,33607.2
1975,North Carolina,35997.8
1976,North Carolina,40454.1
1977,North Carolina,43822
1978,North Carolina,49866.6
1979,North Carolina,54514.7
1980,North Carolina,58790.6
1981,North Carolina,65868.8
1982,North Carolina,68971.4
1983,North Carolina,77543
1984,North Carolina,88151.2
1985,North Carolina,96535
1986,North Carolina,104785.3
1987,North Carolina,113262.1
1988,North Carolina,124302.5
1989,North Carolina,133866.3
1990,North Carolina,139658.4
1991,North Carolina,146367.5
1992,North Carolina,159337
1993,North Carolina,168005.7
1994,North Carolina,181287.8
1995,North Carolina,193466.7
1996,North Carolina,203815
1997,North Carolina,221258.8
1998,North Carolina,245907.3
1999,North Carolina,264063.5
2000,North Carolina,275694.2
2001,North Carolina,288683.5
2002,North Carolina,298110
2003,North Carolina,309318.2
2004,North Carolina,328037.6
2005,North Carolina,352394.5
2006,North Carolina,383522.3
2007,North Carolina,396347.6
2008,North Carolina,413363.3
2009,North Carolina,406477.4
2010,North Carolina,415206.4
2011,North Carolina,427205.6
2012,North Carolina,439571
2013,North Carolina,455521.6
2014,North Carolina,475227.2
2015,North Carolina,503467.3
2016,North Carolina,518384
2017,North Carolina,540496.6
1963,North Dakota,1623.7
1964,North Dakota,1591.5
1965,North Dakota,1824.7
1966,North Dakota,1845.9
1967,North Dakota,1874.1
1968,North Dakota,1958.1
1969,North Dakota,2178.1
1970,North Dakota,2294.1
1971,North Dakota,2631.9
1972,North Dakota,3078
1973,North Dakota,4404
1974,North Dakota,4505.5
1975,North Dakota,4869
1976,North Dakota,5051.9
1977,North Dakota,5243.1
1978,North Dakota,6417.2
1979,North Dakota,7218.4
1980,North Dakota,7645.4
1981,North Dakota,9954.5
1982,North Dakota,9953.5
1983,North Dakota,10045.5
1984,North Dakota,10641.6
1985,North Dakota,10655
1986,North Dakota,9773.3
1987,North Dakota,10305.9
1988,North Dakota,9747.6
1989,North Dakota,10729.5
1990,North Dakota,11509.1
1991,North Dakota,11691.3
1992,North Dakota,12896.2
1993,North Dakota,13049.3
1994,North Dakota,14303.8
1995,North Dakota,14841.9
1996,North Dakota,16491
1997,North Dakota,16500.7
1998,North Dakota,16792.7
1999,North Dakota,16983.7
2000,North Dakota,17976.1
2001,North Dakota,18919.6
2002,North Dakota,20209
2003,North Dakota,22077.4
2004,North Dakota,23167.8
2005,North Dakota,24417.3
2006,North Dakota,26120
2007,North Dakota,28679.7
2008,North Dakota,31722.1
2009,North Dakota,32002.5
2010,North Dakota,35426.3
2011,North Dakota,41179.2
2012,North Dakota,51345.1
2013,North Dakota,53881.7
2014,North Dakota,58547.4
2015,North Dakota,54932.7
2016,North Dakota,51099.2
2017,North Dakota,52526.6
1963,Ohio,33269.5
1964,Ohio,35651.9
1965,Ohio,39070.7
1966,Ohio,42671.9
1967,Ohio,44419.5
1968,Ohio,48696.3
1969,Ohio,52816.9
1970,Ohio,53714
1971,Ohio,57974.7
1972,Ohio,62940.5
1973,Ohio,69836.5
1974,Ohio,74205.7
1975,Ohio,78141.2
1976,Ohio,87418.6
1977,Ohio,96995.5
1978,Ohio,107554.1
1979,Ohio,117117.3
1980,Ohio,121228.2
1981,Ohio,132781.5
1982,Ohio,134636
1983,Ohio,144896.6
1984,Ohio,163854.3
1985,Ohio,174165.4
1986,Ohio,182643.6
1987,Ohio,191784.2
1988,Ohio,205307.8
1989,Ohio,217816.6
1990,Ohio,227412.9
1991,Ohio,233975.4
1992,Ohio,250649.6
1993,Ohio,259611.6
1994,Ohio,281924.7
1995,Ohio,297538.2
1996,Ohio,311120.1
1997,Ohio,332475.9
1998,Ohio,361629.1
1999,Ohio,376034.8
2000,Ohio,391137.8
2001,Ohio,395622.5
2002,Ohio,411967
2003,Ohio,424915.5
2004,Ohio,445541.1
2005,Ohio,465809.3
2006,Ohio,477180.4
2007,Ohio,490965
2008,Ohio,495742.6
2009,Ohio,480322
2010,Ohio,497208.2
2011,Ohio,525388.4
2012,Ohio,540819.3
2013,Ohio,561045.5
2014,Ohio,593030
2015,Ohio,609633.9
2016,Ohio,620931.2
2017,Ohio,645746.9
1963,Oklahoma,6151.1
1964,Oklahoma,6543.8
1965,Oklahoma,6965.9
1966,Oklahoma,7467.7
1967,Oklahoma,8087
1968,Oklahoma,8836.4
1969,Oklahoma,9622.2
1970,Oklahoma,10368.5
1971,Oklahoma,11278.2
1972,Oklahoma,12738
1973,Oklahoma,14482.7
1974,Oklahoma,16204
1975,Oklahoma,18163.1
1976,Oklahoma,20821.8
1977,Oklahoma,24022.2
1978,Oklahoma,27105
1979,Oklahoma,31546.3
1980,Oklahoma,37608.1
1981,Oklahoma,45429.9
1982,Oklahoma,49317.2
1983,Oklahoma,47700.9
1984,Oklahoma,51291.2
1985,Oklahoma,52765
1986,Oklahoma,48996.8
1987,Oklahoma,49055.3
1988,Oklahoma,52667
1989,Oklahoma,55006.8
1990,Oklahoma,57804.8
1991,Oklahoma,59632.1
1992,Oklahoma,62208.5
1993,Oklahoma,65552.1
1994,Oklahoma,68250.7
1995,Oklahoma,70859.4
1996,Oklahoma,76316.3
1997,Oklahoma,81105.7
1998,Oklahoma,81209.1
1999,Oklahoma,84062.9
2000,Oklahoma,90792.7
2001,Oklahoma,96767
2002,Oklahoma,99163
2003,Oklahoma,105243.3
2004,Oklahoma,113148.7
2005,Oklahoma,124563.3
2006,Oklahoma,137083.6
2007,Oklahoma,144893.3
2008,Oklahoma,159660
2009,Oklahoma,145736.4
2010,Oklahoma,152911.4
2011,Oklahoma,165035.6
2012,Oklahoma,173483.7
2013,Oklahoma,182618.4
2014,Oklahoma,195689
2015,Oklahoma,185460.5
2016,Oklahoma,178969.9
2017,Oklahoma,188631.7
1963,Oregon,5706.7
1964,Oregon,6164.2
1965,Oregon,6725.1
1966,Oregon,7267.3
1967,Oregon,7639.2
1968,Oregon,8528.1
1969,Oregon,9352.9
1970,Oregon,9797.5
1971,Oregon,10864.3
1972,Oregon,12220.7
1973,Oregon,14179.9
1974,Oregon,15424.3
1975,Oregon,16822.5
1976,Oregon,19757.5
1977,Oregon,22047.1
1978,Oregon,25390.7
1979,Oregon,28372.4
1980,Oregon,30001.3
1981,Oregon,31590.3
1982,Oregon,31594.1
1983,Oregon,33727.3
1984,Oregon,37444.3
1985,Oregon,39446.4
1986,Oregon,41730
1987,Oregon,44594.4
1988,Oregon,49138.4
1989,Oregon,52610.1
1990,Oregon,56565.6
1991,Oregon,59441
1992,Oregon,63392.3
1993,Oregon,69408.5
1994,Oregon,75393.1
1995,Oregon,81553.7
1996,Oregon,93306.4
1997,Oregon,100363
1998,Oregon,105111.5
1999,Oregon,107546.3
2000,Oregon,117258.3
2001,Oregon,117274.7
2002,Oregon,121229.5
2003,Oregon,127211.6
2004,Oregon,136238.5
2005,Oregon,143662.6
2006,Oregon,155153.3
2007,Oregon,161512
2008,Oregon,165189.1
2009,Oregon,160640.7
2010,Oregon,163827.6
2011,Oregon,170621.3
2012,Oregon,174493.1
2013,Oregon,179382.7
2014,Oregon,189344.3
2015,Oregon,203173.3
2016,Oregon,215336.1
2017,Oregon,227154.5
1963,Pennsylvania,34532.8
1964,Pennsylvania,37374.8
1965,Pennsylvania,40541
1966,Pennsylvania,44081.9
1967,Pennsylvania,46515.2
1968,Pennsylvania,49957.4
1969,Pennsylvania,54486.1
1970,Pennsylvania,56670.4
1971,Pennsylvania,60293.4
1972,Pennsylvania,65389.6
1973,Pennsylvania,71851.6
1974,Pennsylvania,78201.4
1975,Pennsylvania,84119.9
1976,Pennsylvania,90742.6
1977,Pennsylvania,99023.6
1978,Pennsylvania,110054
1979,Pennsylvania,120527.4
1980,Pennsylvania,127180.9
1981,Pennsylvania,138572.8
1982,Pennsylvania,142076.5
1983,Pennsylvania,152041.9
1984,Pennsylvania,167390.2
1985,Pennsylvania,176873.4
1986,Pennsylvania,187386.1
1987,Pennsylvania,202910.4
1988,Pennsylvania,220582.2
1989,Pennsylvania,233162
1990,Pennsylvania,245280.8
1991,Pennsylvania,255162.7
1992,Pennsylvania,269849.2
1993,Pennsylvania,281703.7
1994,Pennsylvania,296601.6
1995,Pennsylvania,312989.4
1996,Pennsylvania,325000.7
1997,Pennsylvania,342661.8
1998,Pennsylvania,372738.5
1999,Pennsylvania,389715.7
2000,Pennsylvania,407652.8
2001,Pennsylvania,424965.2
2002,Pennsylvania,436985.5
2003,Pennsylvania,455106.8
2004,Pennsylvania,481738.9
2005,Pennsylvania,505584.6
2006,Pennsylvania,526396.3
2007,Pennsylvania,560753.4
2008,Pennsylvania,582240.2
2009,Pennsylvania,577379.8
2010,Pennsylvania,599312.8
2011,Pennsylvania,618987.7
2012,Pennsylvania,641317.3
2013,Pennsylvania,663900.8
2014,Pennsylvania,690675.4
2015,Pennsylvania,710040.5
2016,Pennsylvania,724668.3
2017,Pennsylvania,756268.5
1963,Rhode Island,2685.6
1964,Rhode Island,2880.9
1965,Rhode Island,3157.2
1966,Rhode Island,3470.4
1967,Rhode Island,3631
1968,Rhode Island,3911.9
1969,Rhode Island,4112.6
1970,Rhode Island,4310.8
1971,Rhode Island,4599
1972,Rhode Island,5113.6
1973,Rhode Island,5418.3
1974,Rhode Island,5599.2
1975,Rhode Island,6002.4
1976,Rhode Island,6527.5
1977,Rhode Island,7244.6
1978,Rhode Island,7974.6
1979,Rhode Island,8844.6
1980,Rhode Island,9626.2
1981,Rhode Island,10729.5
1982,Rhode Island,11420.2
1983,Rhode Island,12323.2
1984,Rhode Island,13800.6
1985,Rhode Island,15222.5
1986,Rhode Island,16621.5
1987,Rhode Island,17890.6
1988,Rhode Island,19738.4
1989,Rhode Island,21058.5
1990,Rhode Island,21663.9
1991,Rhode Island,21737.8
1992,Rhode Island,22665.2
1993,Rhode Island,23566.4
1994,Rhode Island,24353.7
1995,Rhode Island,25549.8
1996,Rhode Island,26453.7
1997,Rhode Island,28717.4
1998,Rhode Island,30719.9
1999,Rhode Island,32295.5
2000,Rhode Island,34516.4
2001,Rhode Island,35992.1
2002,Rhode Island,38132.1
2003,Rhode Island,40272.8
2004,Rhode Island,43245.6
2005,Rhode Island,45162.4
2006,Rhode Island,47711.8
2007,Rhode Island,47845.6
2008,Rhode Island,47107.8
2009,Rhode Island,47901.4
2010,Rhode Island,49571.8
2011,Rhode Island,50175.9
2012,Rhode Island,51642
2013,Rhode Island,53209.9
2014,Rhode Island,54573.3
2015,Rhode Island,56843.8
2016,Rhode Island,57860
2017,Rhode Island,59305.7
1963,South Carolina,5057.2
1964,South Carolina,5544
1965,South Carolina,6211
1966,South Carolina,6941.3
1967,South Carolina,7381.2
1968,South Carolina,8170
1969,South Carolina,8873.7
1970,South Carolina,9555.8
1971,South Carolina,10550.5
1972,South Carolina,11897.4
1973,South Carolina,13760.7
1974,South Carolina,15312.3
1975,South Carolina,16029.9
1976,South Carolina,18177
1977,South Carolina,20103
1978,South Carolina,22976.3
1979,South Carolina,25506.7
1980,South Carolina,27606.6
1981,South Carolina,31048.2
1982,South Carolina,32353.3
1983,South Carolina,35850.2
1984,South Carolina,41202.9
1985,South Carolina,43987.6
1986,South Carolina,47748.4
1987,South Carolina,52688.4
1988,South Carolina,57328.6
1989,South Carolina,61346.8
1990,South Carolina,65156.9
1991,South Carolina,68000.3
1992,South Carolina,71848
1993,South Carolina,76158.3
1994,South Carolina,82061.5
1995,South Carolina,87247.7
1996,South Carolina,90754.8
1997,South Carolina,96465
1998,South Carolina,103642.6
1999,South Carolina,110251.8
2000,South Carolina,115246.8
2001,South Carolina,119301.4
2002,South Carolina,124160.1
2003,South Carolina,130337.4
2004,South Carolina,135160.1
2005,South Carolina,142616.6
2006,South Carolina,150659.1
2007,South Carolina,159362.5
2008,South Carolina,161804.7
2009,South Carolina,159835.6
2010,South Carolina,163856.8
2011,South Carolina,170087.2
2012,South Carolina,175374.8
2013,South Carolina,183014.9
2014,South Carolina,191967.4
2015,South Carolina,203920.5
2016,South Carolina,212460.2
2017,South Carolina,221689.6
1963,South Dakota,1609.5
1964,South Dakota,1596.8
1965,South Dakota,1762.7
1966,South Dakota,1919.1
1967,South Dakota,1960.2
1968,South Dakota,2092.6
1969,South Dakota,2272.8
1970,South Dakota,2437.5
1971,South Dakota,2656.1
1972,South Dakota,3046.4
1973,South Dakota,3957.5
1974,South Dakota,3966.4
1975,South Dakota,4400.1
1976,South Dakota,4645.5
1977,South Dakota,5116.2
1978,South Dakota,5971.3
1979,South Dakota,6715.9
1980,South Dakota,6760
1981,South Dakota,7661.1
1982,South Dakota,7709
1983,South Dakota,8123
1984,South Dakota,9194
1985,South Dakota,9588
1986,South Dakota,10066.7
1987,South Dakota,10669.3
1988,South Dakota,11172.7
1989,South Dakota,11790.1
1990,South Dakota,12770.3
1991,South Dakota,13736.1
1992,South Dakota,14885.5
1993,South Dakota,16104.5
1994,South Dakota,17329.6
1995,South Dakota,18053.8
1996,South Dakota,19418.7
1997,South Dakota,19764.6
1998,South Dakota,20184.7
1999,South Dakota,21050.8
2000,South Dakota,22690.7
2001,South Dakota,23512.8
2002,South Dakota,26337.5
2003,South Dakota,27445
2004,South Dakota,29628.9
2005,South Dakota,30659.4
2006,South Dakota,31898.6
2007,South Dakota,34701.6
2008,South Dakota,36668.5
2009,South Dakota,36193.1
2010,South Dakota,37484.4
2011,South Dakota,41541.5
2012,South Dakota,43444.6
2013,South Dakota,44814.9
2014,South Dakota,46057
2015,South Dakota,47778.2
2016,South Dakota,48492.9
2017,South Dakota,49813.1
1963,Tennessee,9055.3
1964,Tennessee,9758
1965,Tennessee,10820.1
1966,Tennessee,11979.7
1967,Tennessee,12598.4
1968,Tennessee,13974.5
1969,Tennessee,15167.2
1970,Tennessee,16099.9
1971,Tennessee,17867.2
1972,Tennessee,20325.5
1973,Tennessee,23150.3
1974,Tennessee,25105.9
1975,Tennessee,26645.5
1976,Tennessee,30549
1977,Tennessee,33598.1
1978,Tennessee,38181.6
1979,Tennessee,42194
1980,Tennessee,44972.4
1981,Tennessee,50264.9
1982,Tennessee,52044.8
1983,Tennessee,57073.1
1984,Tennessee,63982.5
1985,Tennessee,68425.5
1986,Tennessee,73288.2
1987,Tennessee,80715
1988,Tennessee,87355.8
1989,Tennessee,91579.2
1990,Tennessee,94086.7
1991,Tennessee,101208.4
1992,Tennessee,111660.4
1993,Tennessee,119567.6
1994,Tennessee,129895.2
1995,Tennessee,137061.2
1996,Tennessee,143162.6
1997,Tennessee,152687.3
1998,Tennessee,167308.4
1999,Tennessee,175819.8
2000,Tennessee,181629.5
2001,Tennessee,185774.7
2002,Tennessee,195289.2
2003,Tennessee,203833.7
2004,Tennessee,218020.6
2005,Tennessee,228099.4
2006,Tennessee,240193.9
2007,Tennessee,244252.4
2008,Tennessee,251609
2009,Tennessee,250544.4
2010,Tennessee,255935.8
2011,Tennessee,267659.1
2012,Tennessee,283721.8
2013,Tennessee,292803.9
2014,Tennessee,304150.4
2015,Tennessee,322893.1
2016,Tennessee,334618.1
2017,Tennessee,349569.2
1963,Texas,29251.8
1964,Texas,31355.6
1965,Texas,33857.7
1966,Texas,36773.7
1967,Texas,39906.7
1968,Texas,44484.5
1969,Texas,48575.3
1970,Texas,52314.3
1971,Texas,57343.8
1972,Texas,64018.6
1973,Texas,73839.8
1974,Texas,85387.3
1975,Texas,98803.8
1976,Texas,113757.5
1977,Texas,130404.4
1978,Texas,149091
1979,Texas,171607.6
1980,Texas,203072.5
1981,Texas,245235.4
1982,Texas,260085.1
1983,Texas,264882.7
1984,Texas,288636.7
1985,Texas,307223.6
1986,Texas,295720.7
1987,Texas,300667.1
1988,Texas,327354
1989,Texas,349951.9
1990,Texas,378943.1
1991,Texas,393573.9
1992,Texas,416401.3
1993,Texas,443775.4
1994,Texas,475989.7
1995,Texas,507725.3
1996,Texas,551512.5
1997,Texas,606982.2
1998,Texas,645696.9
1999,Texas,681335.4
2000,Texas,738871
2001,Texas,773006.7
2002,Texas,787257.8
2003,Texas,829764.4
2004,Texas,906321
2005,Texas,986401.3
2006,Texas,1085294.9
2007,Texas,1178583.1
2008,Texas,1237394.9
2009,Texas,1163401.3
2010,Texas,1237196.8
2011,Texas,1331220.6
2012,Texas,1411378.7
2013,Texas,1502249.8
2014,Texas,1565390.2
2015,Texas,1568641.9
2016,Texas,1565698.8
2017,Texas,1645135.9
1963,Utah,2997.6
1964,Utah,3078.3
1965,Utah,3207
1966,Utah,3409.4
1967,Utah,3487.7
1968,Utah,3724.3
1969,Utah,4036
1970,Utah,4448.4
1971,Utah,4936.4
1972,Utah,5603.6
1973,Utah,6472.5
1974,Utah,7348.4
1975,Utah,8185.9
1976,Utah,9299.8
1977,Utah,10381.3
1978,Utah,11998
1979,Utah,13708.7
1980,Utah,15311.1
1981,Utah,17319.7
1982,Utah,18365.5
1983,Utah,19751.9
1984,Utah,22147.1
1985,Utah,24082.9
1986,Utah,24282.1
1987,Utah,25100
1988,Utah,27324.7
1989,Utah,28668.2
1990,Utah,31249.3
1991,Utah,33501
1992,Utah,35602.3
1993,Utah,38631.4
1994,Utah,42591.1
1995,Utah,46746.4
1996,Utah,52016
1997,Utah,55211.9
1998,Utah,62291.4
1999,Utah,66022.6
2000,Utah,70291.8
2001,Utah,73226
2002,Utah,75998.8
2003,Utah,79149.1
2004,Utah,85701.9
2005,Utah,94194.9
2006,Utah,106124.2
2007,Utah,114652.7
2008,Utah,115985.4
2009,Utah,113332.9
2010,Utah,117960.5
2011,Utah,124539.4
2012,Utah,128721
2013,Utah,134252.1
2014,Utah,141342.9
2015,Utah,149576.7
2016,Utah,157474.7
2017,Utah,164917
1963,Vermont,993.4
1964,Vermont,1089.6
1965,Vermont,1208.2
1966,Vermont,1435.1
1967,Vermont,1504.8
1968,Vermont,1627.8
1969,Vermont,1797.9
1970,Vermont,1979.7
1971,Vermont,2121.9
1972,Vermont,2294.3
1973,Vermont,2482.5
1974,Vermont,2577.2
1975,Vermont,2807.3
1976,Vermont,3222.3
1977,Vermont,3346.7
1978,Vermont,3941.8
1979,Vermont,4398.6
1980,Vermont,4855.7
1981,Vermont,5435.9
1982,Vermont,5755.1
1983,Vermont,6268.9
1984,Vermont,6895.3
1985,Vermont,7524.2
1986,Vermont,8168.6
1987,Vermont,9156.6
1988,Vermont,10259.3
1989,Vermont,11120.3
1990,Vermont,11673.6
1991,Vermont,11732.6
1992,Vermont,12538.3
1993,Vermont,13026.9
1994,Vermont,13689.2
1995,Vermont,13891.4
1996,Vermont,14672.4
1997,Vermont,15521.1
1998,Vermont,16073.1
1999,Vermont,17159.3
2000,Vermont,18311.9
2001,Vermont,19274.1
2002,Vermont,20163.3
2003,Vermont,21130.1
2004,Vermont,22666
2005,Vermont,23509.3
2006,Vermont,24309.8
2007,Vermont,24696.8
2008,Vermont,25678
2009,Vermont,25867.8
2010,Vermont,27108.4
2011,Vermont,28135.1
2012,Vermont,28887.4
2013,Vermont,29098.8
2014,Vermont,29714.4
2015,Vermont,30672.9
2016,Vermont,31552.2
2017,Vermont,32545.2
1963,Virginia,11681.9
1964,Virginia,12712.6
1965,Virginia,13666
1966,Virginia,14903.8
1967,Virginia,15924.9
1968,Virginia,17692.5
1969,Virginia,19638
1970,Virginia,21048.4
1971,Virginia,23157.3
1972,Virginia,26063.8
1973,Virginia,29450
1974,Virginia,32427.8
1975,Virginia,35067
1976,Virginia,39574.2
1977,Virginia,43218.8
1978,Virginia,48379.1
1979,Virginia,53397.8
1980,Virginia,58668.7
1981,Virginia,66178.6
1982,Virginia,71465.1
1983,Virginia,79438.9
1984,Virginia,89767.8
1985,Virginia,97966.7
1986,Virginia,107347.9
1987,Virginia,117602.8
1988,Virginia,128087.7
1989,Virginia,137660.7
1990,Virginia,144970.6
1991,Virginia,151092.6
1992,Virginia,158990.2
1993,Virginia,167688.4
1994,Virginia,177057.3
1995,Virginia,186235.6
1996,Virginia,197756.4
1997,Virginia,210360.6
1998,Virginia,233095.5
1999,Virginia,249798.3
2000,Virginia,266886.4
2001,Virginia,284001.9
2002,Virginia,293275.9
2003,Virginia,309981.2
2004,Virginia,332250.6
2005,Virginia,360299.8
2006,Virginia,379129.4
2007,Virginia,392917.3
2008,Virginia,399032.1
2009,Virginia,408918.7
2010,Virginia,422902
2011,Virginia,432392.7
